,issue_d,revenue,dti_n,loan_amnt,fico_n,purpose,home_ownership_n,emp_length,experience_c,addr_state
77,-1.721533794161208,,,,,,,,,
78,-1.6614424565664037,,,,,,,,,
79,-1.6443451870775307,,,,,,,,,
80,-1.6647929883026984,,,,,,,,,
81,-1.8064913790207615,,,,,,,,,
82,-1.5844627995746594,,,,,,,,,
83,-1.541230404891857,,,,,,,,,
84,-1.5359898212288279,,,,,,,,,
85,-1.3968555168718082,,,,,,,,,
86,-1.5044367007632444,,,,,,,,,
87,-1.9408051674002944,,,,,,,,,
88,-1.8996404335086046,,,,,,,,,
89,-1.2653719094681835,,,,,,,,,
90,-1.3833299798114849,,,,,,,,,
91,-1.1707719206453089,,,,,,,,,
92,-0.9557627281314247,,,,,,,,,
93,-1.157885966325955,,,,,,,,,
94,-1.2156452077249225,,,,,,,,,
95,-0.7886140796067934,,,,,,,,,
96,-0.8958528127572404,,,,,,,,,
97,-0.6220434444759196,,,,,,,,,
98,-0.6537799404668738,,,,,,,,,
99,-1.1374752547391727,,,,,,,,,
100,-0.8534879420605792,,,,,,,,,
101,-1.9790186140512722,,,,,,,,,
102,-1.912503859200676,,,,,,,,,
103,-1.1054531879222578,,,,,,,,,
104,-1.0943081860462118,,,,,,,,,
105,-1.1283101566495048,,,,,,,,,
106,-1.5838831745707893,,,,,,,,,
107,-1.5800592885329674,,,,,,,,,
108,-1.5553038494047093,,,,,,,,,
109,-1.536891614001586,,,,,,,,,
110,-1.5690691936226138,,,,,,,,,
111,-1.5413123727137064,,,,,,,,,
112,-1.5176143621346978,,,,,,,,,
113,-1.474515867168,,,,,,,,,
114,-1.52532402509896,,,,,,,,,
115,-1.6409743854239094,,,,,,,,,
116,-1.562047313779611,,,,,,,,,
117,-1.56662459234768,,,,,,,,,
118,-1.5874600684126414,,,,,,,,,
119,-1.5332674119067156,,,,,,,,,
120,-1.5587241008469406,,,,,,,,,
121,-1.596164286013954,,,,,,,,,
122,-1.5148634584527991,,,,,,,,,
123,-1.416276407653219,,,,,,,,,
124,-1.3867845018019773,,,,,,,,,
125,-1.4798251016308643,,,,,,,,,
126,-1.6009121831655497,,,,,,,,,
127,-1.5947286792572064,,,,,,,,,
128,-1.4700752996771276,,,,,,,,,
129,-1.4676402344370716,,,,,,,,,
130,-1.0154025430361784,,,,,,,,,
131,-0.9618317671449276,,,,,,,,,
132,-0.9282302283774367,,,,,,,,,
133,-1.1930907609590944,,,,,,,,,
134,-1.2364616757707325,,,,,,,,,
135,-1.1521910877935015,,,,,,,,,
136,-1.0242319397480608,,,,,,,,,
137,-1.048040407808703,,,,,,,,,
138,-1.1429091811386054,,,,,,,,,
